representation,mechanism,batch_size,episodes,seeds,acceptance_rate,prior_coverage,prior_mae,mean_set_width,mean_selective_coverage,mean_selective_error,zero_shot_bll,always_point_bll,gated_bll,prior_oracle_bll
hybrid,support_translation,64,200,10,0.0,0.0,0.163,,0.0,,0.424914321422899,0.6858112675510393,0.424914321422899,0.5584863627587964
hybrid,support_translation,128,200,10,0.0,0.0,0.15675,,0.0,,0.4371661551256696,0.697086010286326,0.4371661551256696,0.5852989505991049
hybrid,support_translation,256,200,10,0.0,0.0,0.15225,,0.0,,0.42881941208940866,0.6783188641371537,0.42881941208940866,0.5718917973364792
hybrid,support_translation,512,200,10,0.0,0.0,0.156,,0.0,,0.43074131760957807,0.6832375521898468,0.43074131760957807,0.5709723932907272
hybrid,unidentifiable_concept_reversal,32,200,10,1.0,0.315,0.45225000000000004,0.38049999999999995,0.769375,0.9182323843790898,2.0072377719879575,2.147852864012798,2.147852864012798,2.130747557381643
hybrid,unidentifiable_concept_reversal,64,200,10,1.0,0.185,0.46375,0.28025,0.83375,0.9019357795616777,1.9801240721607907,2.112069994077885,2.112069994077885,2.119906625683344
hybrid,unidentifiable_concept_reversal,128,200,10,1.0,0.11,0.4595,0.20149999999999998,0.88234375,0.8899225019202771,1.9548138570964855,2.0891662764747356,2.0891662764747356,2.0897790784788404
hybrid,unidentifiable_concept_reversal,256,200,10,1.0,0.09,0.45875,0.14225,0.91818359375,0.8824267857649335,1.956160709956307,2.0844967691336533,2.0844967691336533,2.0889945974662942
hybrid,unidentifiable_concept_reversal,512,200,10,1.0,0.075,0.4585,0.099,0.943642578125,0.8764701294086151,1.9695300608959332,2.0944281111990306,2.0944281111990306,2.1026486363468333
learned,conditional_scale,32,200,10,0.965,0.88,0.1015,0.37202072538860104,0.74375,0.14037724195813658,0.5452238740113918,0.6964729887991392,0.6774989253492583,0.6665567799593708
learned,conditional_scale,64,200,10,0.985,0.88,0.07325,0.2642131979695431,0.828828125,0.14611685652276918,0.5540008732521668,0.7131449808549492,0.7021725535614768,0.6881227577216245
learned,conditional_scale,128,200,10,0.985,0.87,0.05625,0.18248730964467003,0.8858203125,0.15675788997540713,0.5501741468649667,0.6848018882914524,0.6789697946620664,0.6824766409820667
learned,conditional_scale,256,200,10,0.95,0.85,0.040999999999999995,0.12763157894736843,0.88080078125,0.16326526188977336,0.5431602339714381,0.6723264375442153,0.660166800654022,0.671584255430265
learned,conditional_scale,512,200,10,0.94,0.835,0.025,0.0827127659574468,0.895703125,0.1669405448012113,0.5444851989086702,0.6684616794151718,0.6546387817032325,0.6711566059686228
learned,conditional_translation,32,200,10,0.82,0.685,0.11199999999999999,0.3173780487804878,0.651875,0.12670557774786728,0.480686602248115,0.6577562580738928,0.6410058180115276,0.6270560272813022
learned,conditional_translation,64,200,10,0.695,0.56,0.08675,0.21223021582733814,0.605078125,0.13473387860005923,0.4657821451721477,0.6075280702396352,0.5885611998322434,0.6171035565908063
learned,conditional_translation,128,200,10,0.515,0.405,0.078,0.13689320388349516,0.476796875,0.13433212397055072,0.4743397557039913,0.6127721028721865,0.5869049451651445,0.6340384954937914
learned,conditional_translation,256,200,10,0.415,0.305,0.08025,0.09216867469879518,0.39501953125,0.13417379844368135,0.4829248529279473,0.6217429451213837,0.5957049287888472,0.6447985385827542
learned,conditional_translation,512,200,10,0.33,0.305,0.0735,0.06363636363636364,0.32029296875,0.11919742359804816,0.4762596725222793,0.6044980774654177,0.5702944476778494,0.6337350989806494
learned,covariance_shear,32,200,10,1.0,0.97,0.086,0.3715,0.7653125,0.09422542848177316,0.43984665458684,0.6039554552253952,0.6039554552253952,0.5698377236990414
learned,covariance_shear,64,200,10,1.0,0.935,0.073,0.27925,0.8284375,0.1038927867500213,0.41604901596882216,0.5417927134114098,0.5417927134114098,0.5334913792293862
learned,covariance_shear,128,200,10,1.0,0.97,0.04649999999999999,0.19224999999999998,0.8882421875,0.11632577073173954,0.4334347455645118,0.5782702619731763,0.5782702619731763,0.5727567438639588
learned,covariance_shear,256,200,10,1.0,0.96,0.033,0.13549999999999998,0.9211328125,0.12668129933070213,0.4362356072477988,0.5706300318029878,0.5706300318029878,0.5752829066477309
learned,covariance_shear,512,200,10,0.995,0.905,0.02625,0.08919597989949749,0.945078125,0.13347631857437683,0.4321265619652075,0.5521633223186222,0.5485923362008159,0.5647298022560799
learned,outcome_dependent_dropout,32,200,10,0.78,0.645,0.11875,0.31153846153846154,0.599375,0.12703669943553628,0.46372804139338125,0.6047579890677341,0.585784055072418,0.6005297881230129
learned,outcome_dependent_dropout,64,200,10,0.605,0.48,0.09699999999999999,0.2128099173553719,0.515625,0.13905712831340072,0.442605493325903,0.5790491698591249,0.5484397441036734,0.5893996265077424
learned,outcome_dependent_dropout,128,200,10,0.47,0.385,0.08125,0.14414893617021277,0.4265625,0.1358726060574303,0.4552798999894169,0.5847083425646648,0.5514163440306865,0.6091931249073393
learned,outcome_dependent_dropout,256,200,10,0.34,0.275,0.08025,0.09485294117647058,0.32064453125,0.1387237389796232,0.45691607123469075,0.5769302560760664,0.5439182764087248,0.609678291183381
learned,outcome_dependent_dropout,512,200,10,0.245,0.195,0.07325,0.054081632653061235,0.23771484375,0.12781879748098612,0.45648088659412905,0.5714507705871745,0.527807394921524,0.6082976155891943
learned,pure_label_shift,32,200,10,0.995,0.965,0.07999999999999999,0.37663316582914574,0.766875,0.07712338428940599,0.4156637543556627,0.5692114633570599,0.567684746138435,0.5573785320684613
learned,pure_label_shift,64,200,10,1.0,0.945,0.0715,0.2725,0.83890625,0.09615336873404504,0.4255108499241805,0.5769350506109167,0.5769350506109167,0.5853155283077073
learned,pure_label_shift,128,200,10,1.0,0.94,0.048999999999999995,0.19099999999999998,0.8901953125,0.10188455247506457,0.4147898789914412,0.5800125236844452,0.5800125236844452,0.5836854702942472
learned,pure_label_shift,256,200,10,1.0,0.96,0.03375,0.13724999999999998,0.920546875,0.11111264786601253,0.4088748778849272,0.5563196750448725,0.5563196750448725,0.5701936142674271
learned,pure_label_shift,512,200,10,1.0,0.965,0.020499999999999997,0.09275,0.947958984375,0.11892538643830333,0.41225007582355166,0.5540655792504809,0.5540655792504809,0.5698635525901958
learned,support_translation,32,200,10,0.295,0.08,0.15625,0.1593220338983051,0.26453125,0.17103419347983953,0.4444290541506313,0.7340930594085927,0.508682174150019,0.6107046939890497
learned,support_translation,64,200,10,0.04,0.0,0.16375,0.05,0.03875,0.21538219323779667,0.424914321422899,0.6869015970019087,0.4254872615156664,0.5584863627587964
learned,support_translation,128,200,10,0.0,0.0,0.15675,,0.0,,0.4371661551256696,0.6949691197705263,0.4371661551256696,0.5852989505991049
learned,support_translation,256,200,10,0.0,0.0,0.1535,,0.0,,0.42881941208940866,0.6751613124080604,0.42881941208940866,0.5718917973364792
learned,support_translation,512,200,10,0.0,0.0,0.1575,,0.0,,0.43074131760957807,0.6809844793074281,0.43074131760957807,0.5709723932907272
learned,unidentifiable_concept_reversal,32,200,10,1.0,0.31,0.452,0.37949999999999995,0.769375,0.9183492579199908,2.0072377719879575,2.147881994837395,2.147881994837395,2.130747557381643
learned,unidentifiable_concept_reversal,64,200,10,1.0,0.18,0.46324999999999994,0.27975,0.83328125,0.9017048211515363,1.9801240721607907,2.110858860987297,2.110858860987297,2.119906625683344
learned,unidentifiable_concept_reversal,128,200,10,1.0,0.105,0.4595,0.198,0.8843359375,0.889378067751765,1.9548138570964855,2.0896631485487256,2.0896631485487256,2.0897790784788404
learned,unidentifiable_concept_reversal,256,200,10,1.0,0.09,0.4585,0.13949999999999999,0.9200390625,0.8819258966098211,1.956160709956307,2.0843766026035686,2.0843766026035686,2.0889945974662942
learned,unidentifiable_concept_reversal,512,200,10,1.0,0.075,0.4585,0.0975,0.944443359375,0.876201552857429,1.9695300608959332,2.0944281111990306,2.0944281111990306,2.1026486363468333
raw_linear,conditional_scale,32,200,10,0.975,0.91,0.10675000000000001,0.43974358974358974,0.7021875,0.12421428470554702,0.5452238740113918,0.7082511371064465,0.7017943531991668,0.6665567799593708
raw_linear,conditional_scale,64,200,10,0.96,0.9,0.07200000000000001,0.3203125,0.7746875,0.1345779229083093,0.5540008732521668,0.7153208496785861,0.7084221001496659,0.6881227577216245
raw_linear,conditional_scale,128,200,10,0.965,0.935,0.05199999999999999,0.25906735751295334,0.8220703125,0.143989755170615,0.5501741468649667,0.6903575494614341,0.6835988599812989,0.6824766409820667
raw_linear,conditional_scale,256,200,10,0.995,0.95,0.042,0.19547738693467337,0.882578125,0.1502302225422422,0.5431602339714381,0.6742029843271112,0.6739944227668612,0.671584255430265
raw_linear,conditional_scale,512,200,10,0.995,0.985,0.02625,0.157035175879397,0.904482421875,0.15362026490264502,0.5444851989086702,0.6688526472030302,0.6687915495292551,0.6711566059686228
raw_linear,conditional_translation,32,200,10,0.305,0.265,0.1185,0.3008196721311476,0.26015625,0.0759269081379972,0.480686602248115,0.6556996824477659,0.5955669076160821,0.6270560272813022
raw_linear,conditional_translation,64,200,10,0.215,0.19,0.09574999999999999,0.18953488372093025,0.19359375,0.07193445929659191,0.4657821451721477,0.6142429223389634,0.5554874485004815,0.6171035565908063
raw_linear,conditional_translation,128,200,10,0.205,0.195,0.08650000000000001,0.1524390243902439,0.191875,0.06756165603626976,0.4743397557039913,0.618707875370934,0.5681411400768045,0.6340384954937914
raw_linear,conditional_translation,256,200,10,0.15,0.15,0.08800000000000001,0.11166666666666666,0.14326171875,0.061315630476064566,0.4829248529279473,0.6267896777792202,0.5564230989346407,0.6447985385827542
raw_linear,conditional_translation,512,200,10,0.135,0.135,0.081,0.06851851851851852,0.131513671875,0.0653823112482589,0.4762596725222793,0.6078365941723398,0.5424215029634883,0.6337350989806494
raw_linear,covariance_shear,32,200,10,0.985,0.93,0.08525,0.4319796954314721,0.709375,0.08635888901462789,0.43984665458684,0.6064717859459627,0.6015932869806602,0.5698377236990414
raw_linear,covariance_shear,64,200,10,0.98,0.925,0.07175,0.3349489795918368,0.77515625,0.0966250214425374,0.41604901596882216,0.5461753438471235,0.5436254499091183,0.5334913792293862
raw_linear,covariance_shear,128,200,10,0.995,0.98,0.04575,0.25753768844221103,0.84328125,0.10461738524900138,0.4334347455645118,0.580566290525673,0.580566290525673,0.5727567438639588
raw_linear,covariance_shear,256,200,10,0.995,0.98,0.0305,0.2030150753768844,0.87568359375,0.11522000272426762,0.4362356072477988,0.576844460776083,0.5752780331470092,0.5752829066477309
raw_linear,covariance_shear,512,200,10,0.995,0.985,0.0275,0.16180904522613065,0.90228515625,0.12012675351255803,0.4321265619652075,0.558303252810301,0.5547322666924948,0.5647298022560799
raw_linear,outcome_dependent_dropout,32,200,10,0.27,0.215,0.11800000000000001,0.25092592592592594,0.23109375,0.09174070326359748,0.46372804139338125,0.6078654076195116,0.5596307697847277,0.6005297881230129
raw_linear,outcome_dependent_dropout,64,200,10,0.125,0.12,0.10275000000000001,0.196,0.113984375,0.058272124868129695,0.442605493325903,0.5764325370302567,0.49561390509239894,0.5893996265077424
raw_linear,outcome_dependent_dropout,128,200,10,0.105,0.095,0.09125,0.13571428571428573,0.098984375,0.06739334260331972,0.4552798999894169,0.5880473082174991,0.5087899363439621,0.6091931249073393
raw_linear,outcome_dependent_dropout,256,200,10,0.08,0.075,0.08875,0.0875,0.077265625,0.06490704806688077,0.45691607123469075,0.5797017193108784,0.50360968364244,0.609678291183381
raw_linear,outcome_dependent_dropout,512,200,10,0.06,0.06,0.084,0.07083333333333333,0.058505859375,0.050965735194979746,0.45648088659412905,0.5762793231462657,0.4903924502000859,0.6082976155891943
raw_linear,pure_label_shift,32,200,10,0.98,0.975,0.081,0.4683673469387755,0.68828125,0.06559952496965721,0.4156637543556627,0.5765493144783991,0.57527661032539,0.5573785320684613
raw_linear,pure_label_shift,64,200,10,0.995,0.975,0.06774999999999999,0.3457286432160804,0.787734375,0.08489739942519192,0.4255108499241805,0.5821275999350168,0.5819447809606312,0.5853155283077073
raw_linear,pure_label_shift,128,200,10,1.0,0.985,0.0475,0.256,0.85125,0.09225573409528692,0.4147898789914412,0.5855286389793248,0.5855286389793248,0.5836854702942472
raw_linear,pure_label_shift,256,200,10,1.0,0.99,0.034499999999999996,0.20149999999999998,0.88189453125,0.09966437204200383,0.4088748778849272,0.5652202783825391,0.5652202783825391,0.5701936142674271
raw_linear,pure_label_shift,512,200,10,1.0,1.0,0.021249999999999995,0.16099999999999998,0.907490234375,0.10747318019634941,0.41225007582355166,0.5632874100807744,0.5632874100807744,0.5698635525901958
raw_linear,support_translation,32,200,10,0.0,0.0,0.16675,,0.0,,0.4444290541506313,0.7524780808340152,0.4444290541506313,0.6107046939890497
raw_linear,support_translation,64,200,10,0.0,0.0,0.17375,,0.0,,0.424914321422899,0.7057714660579952,0.424914321422899,0.5584863627587964
raw_linear,support_translation,128,200,10,0.0,0.0,0.1745,,0.0,,0.4371661551256696,0.7226390352722812,0.4371661551256696,0.5852989505991049
raw_linear,support_translation,256,200,10,0.0,0.0,0.16949999999999998,,0.0,,0.42881941208940866,0.7044496620718383,0.42881941208940866,0.5718917973364792
raw_linear,support_translation,512,200,10,0.0,0.0,0.17600000000000002,,0.0,,0.43074131760957807,0.7139649740922444,0.43074131760957807,0.5709723932907272
raw_linear,unidentifiable_concept_reversal,32,200,10,0.995,0.38,0.4525,0.46582914572864326,0.6984375,0.9277415359482939,2.0072377719879575,2.1533535963692354,2.149306043825027,2.130747557381643
raw_linear,unidentifiable_concept_reversal,64,200,10,0.985,0.215,0.46525,0.3532994923857868,0.77515625,0.9137559900433423,1.9801240721607907,2.1161633440405545,2.116000748510416,2.119906625683344
raw_linear,unidentifiable_concept_reversal,128,200,10,1.0,0.175,0.46375,0.27149999999999996,0.8390625,0.9009239262587313,1.9548138570964855,2.0959973493273427,2.0959973493273427,2.0897790784788404
raw_linear,unidentifiable_concept_reversal,256,200,10,0.995,0.125,0.461,0.20100502512562815,0.877890625,0.8918633171590779,1.956160709956307,2.089293257636676,2.086039084019565,2.0889945974662942
raw_linear,unidentifiable_concept_reversal,512,200,10,0.995,0.115,0.46049999999999996,0.16457286432160803,0.901162109375,0.888271214922123,1.9695300608959332,2.0983123833822974,2.098264144488385,2.1026486363468333
rff,conditional_scale,32,200,10,0.97,0.905,0.1035,0.43427835051546393,0.70109375,0.12530835658192105,0.5452238740113918,0.7015883247677154,0.69126745390703,0.6665567799593708
rff,conditional_scale,64,200,10,0.92,0.855,0.07025,0.30353260869565213,0.754296875,0.13832839052819176,0.5540008732521668,0.7083010899789883,0.6900932436917993,0.6881227577216245
rff,conditional_scale,128,200,10,0.88,0.805,0.052000000000000005,0.2375,0.765078125,0.15007733631709258,0.5501741468649667,0.6794892235885258,0.6643347075849891,0.6824766409820667
rff,conditional_scale,256,200,10,0.84,0.75,0.042,0.15863095238095237,0.7678515625,0.15505564310188824,0.5431602339714381,0.6709441213399042,0.6531294101804944,0.671584255430265
rff,conditional_scale,512,200,10,0.735,0.675,0.026750000000000003,0.12619047619047616,0.68595703125,0.1560900228777166,0.5444851989086702,0.6610049308289561,0.6322588132060115,0.6711566059686228
rff,conditional_translation,32,200,10,0.32,0.26,0.12275,0.2890625,0.27390625,0.07668337164456512,0.480686602248115,0.6601580651211236,0.6041228042842645,0.6270560272813022
rff,conditional_translation,64,200,10,0.21,0.19,0.1045,0.19642857142857142,0.18859375,0.0707048953812975,0.4657821451721477,0.6184771470056316,0.5544224656857158,0.6171035565908063
rff,conditional_translation,128,200,10,0.205,0.195,0.09300000000000001,0.1524390243902439,0.19203125,0.06765685293806716,0.4743397557039913,0.6167160038780233,0.5689629942228671,0.6340384954937914
rff,conditional_translation,256,200,10,0.16,0.155,0.0975,0.109375,0.15275390625,0.06367694492067001,0.4829248529279473,0.6261376936803031,0.55790103964647,0.6447985385827542
rff,conditional_translation,512,200,10,0.14,0.135,0.0885,0.06964285714285715,0.136279296875,0.06516176214338014,0.4762596725222793,0.6089318855219897,0.5458700870073477,0.6337350989806494
rff,covariance_shear,32,200,10,0.98,0.905,0.08449999999999999,0.4247448979591837,0.70953125,0.08701568308830651,0.43984665458684,0.6059227369153207,0.6002243648317982,0.5698377236990414
rff,covariance_shear,64,200,10,0.985,0.92,0.071,0.32893401015228424,0.781796875,0.09681928571687991,0.41604901596882216,0.5457559236558658,0.5443772788398408,0.5334913792293862
rff,covariance_shear,128,200,10,0.98,0.96,0.045,0.24719387755102037,0.8377734375,0.10714056575971206,0.4334347455645118,0.5793052078117303,0.5757439124562413,0.5727567438639588
rff,covariance_shear,256,200,10,0.985,0.95,0.0305,0.1885786802030457,0.87576171875,0.11875876588406997,0.4362356072477988,0.5746392475177338,0.5672609469367401,0.5752829066477309
rff,covariance_shear,512,200,10,0.94,0.9,0.02625,0.1422872340425532,0.86349609375,0.12439997245087286,0.4321265619652075,0.5555989119384985,0.5416860279601873,0.5647298022560799
rff,outcome_dependent_dropout,32,200,10,0.255,0.215,0.1125,0.2833333333333334,0.21359375,0.08300285682864861,0.46372804139338125,0.6013187921585412,0.5537793982832142,0.6005297881230129
rff,outcome_dependent_dropout,64,200,10,0.135,0.115,0.09549999999999999,0.18333333333333335,0.12390625,0.06264628804610314,0.442605493325903,0.5777044677668531,0.49469571762781367,0.5893996265077424
rff,outcome_dependent_dropout,128,200,10,0.115,0.095,0.085,0.13260869565217392,0.1087109375,0.06917122986333823,0.4552798999894169,0.5864772104267173,0.5113322384651869,0.6091931249073393
rff,outcome_dependent_dropout,256,200,10,0.08,0.08,0.07975,0.1,0.0766796875,0.061813693193049565,0.45691607123469075,0.5795279421300245,0.50360968364244,0.609678291183381
rff,outcome_dependent_dropout,512,200,10,0.06,0.06,0.0735,0.07916666666666666,0.05822265625,0.049097528673240624,0.45648088659412905,0.5753716503229022,0.49177773400343033,0.6082976155891943
rff,pure_label_shift,32,200,10,0.985,0.96,0.07775,0.4649746192893401,0.69453125,0.06386789048965515,0.4156637543556627,0.5720076001706843,0.5707965367765672,0.5573785320684613
rff,pure_label_shift,64,200,10,0.995,0.975,0.06974999999999999,0.3494974874371859,0.785703125,0.08379846186403264,0.4255108499241805,0.579791051853278,0.5791381500987022,0.5853155283077073
rff,pure_label_shift,128,200,10,1.0,0.985,0.0475,0.26125,0.847578125,0.09142188423769765,0.4147898789914412,0.5828940960338501,0.5828940960338501,0.5836854702942472
rff,pure_label_shift,256,200,10,1.0,0.99,0.034249999999999996,0.2065,0.8791015625,0.09904471568293699,0.4088748778849272,0.5634081593300334,0.5634081593300334,0.5701936142674271
rff,pure_label_shift,512,200,10,1.0,1.0,0.020999999999999998,0.16899999999999998,0.90283203125,0.10625199268125937,0.41225007582355166,0.5632428475528074,0.5632428475528074,0.5698635525901958
rff,support_translation,32,200,10,0.0,0.0,0.16975,,0.0,,0.4444290541506313,0.7504377493149642,0.4444290541506313,0.6107046939890497
rff,support_translation,64,200,10,0.0,0.0,0.17925000000000002,,0.0,,0.424914321422899,0.7034426768276028,0.424914321422899,0.5584863627587964
rff,support_translation,128,200,10,0.0,0.0,0.17825,,0.0,,0.4371661551256696,0.7174996498766602,0.4371661551256696,0.5852989505991049
rff,support_translation,256,200,10,0.0,0.0,0.17074999999999999,,0.0,,0.42881941208940866,0.6941891232277817,0.42881941208940866,0.5718917973364792
rff,support_translation,512,200,10,0.0,0.0,0.17825,,0.0,,0.43074131760957807,0.7047373656924069,0.43074131760957807,0.5709723932907272
rff,unidentifiable_concept_reversal,32,200,10,0.99,0.38,0.4535,0.471969696969697,0.690625,0.9296336379451722,2.0072377719879575,2.1521128883604255,2.1477764089556026,2.130747557381643
rff,unidentifiable_concept_reversal,64,200,10,0.985,0.22,0.46525,0.3616751269035533,0.76859375,0.9160175724437252,1.9801240721607907,2.114646204638835,2.114409303801016,2.119906625683344
rff,unidentifiable_concept_reversal,128,200,10,1.0,0.185,0.4635,0.27699999999999997,0.834375,0.9018935003594316,1.9548138570964855,2.0943213020107576,2.0943213020107576,2.0897790784788404
rff,unidentifiable_concept_reversal,256,200,10,1.0,0.13,0.45975,0.20475,0.87986328125,0.8926355992113489,1.956160709956307,2.0903385634623306,2.0903385634623306,2.0889945974662942
rff,unidentifiable_concept_reversal,512,200,10,0.995,0.12,0.46,0.171356783919598,0.8975,0.8892853746195578,1.9695300608959332,2.097215301018559,2.097167062124647,2.1026486363468333
