view,best_prior,mmd2_statistic,bootstrap_critical_value,p_value,accepted,alpha,rff_dimensions,source_bandwidth,scenario,experiment,variant,seed,fit_seed,diagnostic_mode,automatic_adaptation_allowed,mask_support_passed,mask_all_feature_states_supported,mask_exact_pattern_support_rate,mask_nearest_hamming_fraction_q95,mask_nearest_hamming_fraction_max
mask,0.95,0.007624097187432677,0.03449797782796173,0.45,True,0.05,32,4.647103841036899,mar_policy_shift,mask_only_dro,v5_mask,9161,3942424521,composite_multiview_v3,True,True,True,0.2375,0.15384615384615385,0.23076923076923078
composite,0.8,0.008024135736357983,0.014895757666285266,0.55,True,0.05,96,,mar_policy_shift,mask_only_dro,v5_mask,9161,3942424521,composite_multiview_v3,True,True,True,0.2375,0.15384615384615385,0.23076923076923078
evidence,0.45,0.02910176296949976,0.027445388464503215,0.05,True,0.05,32,0.9630366538892825,conditional_only,prior_separated,v2,9161,1976038506,composite_multiview_v3,True,True,True,0.3625,0.15384615384615385,0.23076923076923078
core,0.55,0.02331430641062602,0.009673043856074228,0.05,True,0.05,32,2.341321671150231,conditional_only,prior_separated,v2,9161,1976038506,composite_multiview_v3,True,True,True,0.3625,0.15384615384615385,0.23076923076923078
mask,0.65,0.0024339048951795596,0.01531925942846564,1.0,True,0.05,32,4.403871025252088,conditional_only,prior_separated,v2,9161,1976038506,composite_multiview_v3,True,True,True,0.3625,0.15384615384615385,0.23076923076923078
composite,0.5,0.019680725216240216,0.016912781661444783,0.05,True,0.05,96,,conditional_only,prior_separated,v2,9161,1976038506,composite_multiview_v3,True,True,True,0.3625,0.15384615384615385,0.23076923076923078
evidence,0.7,0.02428863717707705,0.006761151118913047,0.05,True,0.05,32,1.056048711917994,conditional_only,structured_policy_bank,v4,9161,1726531450,composite_multiview_v3,True,True,True,0.3625,0.15384615384615385,0.23076923076923078
core,0.5,0.021744572809617183,0.011822386992694545,0.05,True,0.05,32,2.341321671150231,conditional_only,structured_policy_bank,v4,9161,1726531450,composite_multiview_v3,True,True,True,0.3625,0.15384615384615385,0.23076923076923078
mask,0.65,0.0032222584987631826,0.013929615993970046,0.95,True,0.05,32,4.403871025252088,conditional_only,structured_policy_bank,v4,9161,1726531450,composite_multiview_v3,True,True,True,0.3625,0.15384615384615385,0.23076923076923078
composite,0.65,0.018355040459829487,0.012069253483624642,0.05,True,0.05,96,,conditional_only,structured_policy_bank,v4,9161,1726531450,composite_multiview_v3,True,True,True,0.3625,0.15384615384615385,0.23076923076923078
evidence,0.6,0.03420777401440902,0.017515448644848605,0.05,True,0.05,32,0.9178696973574907,conditional_only,mask_only_dro,v5_mask,9161,1535202078,composite_multiview_v3,True,True,True,0.3625,0.15384615384615385,0.23076923076923078
core,0.55,0.017356712938384908,0.016158024673198768,0.05,True,0.05,32,2.341321671150231,conditional_only,mask_only_dro,v5_mask,9161,1535202078,composite_multiview_v3,True,True,True,0.3625,0.15384615384615385,0.23076923076923078
mask,0.55,0.0025438136641511757,0.01225459543625205,0.95,True,0.05,32,4.403871025252088,conditional_only,mask_only_dro,v5_mask,9161,1535202078,composite_multiview_v3,True,True,True,0.3625,0.15384615384615385,0.23076923076923078
composite,0.6,0.018117636134324967,0.010013788668925544,0.05,True,0.05,96,,conditional_only,mask_only_dro,v5_mask,9161,1535202078,composite_multiview_v3,True,True,True,0.3625,0.15384615384615385,0.23076923076923078
evidence,0.8,0.0031752269269296825,0.01518976947793457,0.45,True,0.05,32,0.9179878645309225,mnar_outcome_only,prior_separated,v2,9161,4159958130,composite_multiview_v3,True,True,True,0.275,0.15384615384615385,0.23076923076923078
core,0.75,0.0025540001095186475,0.01735869846899772,0.85,True,0.05,32,2.341321671150231,mnar_outcome_only,prior_separated,v2,9161,4159958130,composite_multiview_v3,True,True,True,0.275,0.15384615384615385,0.23076923076923078
mask,0.95,0.050525519347173004,0.02146504804522515,0.05,True,0.05,32,4.403871025252088,mnar_outcome_only,prior_separated,v2,9161,4159958130,composite_multiview_v3,True,True,True,0.275,0.15384615384615385,0.23076923076923078
composite,0.8,0.0228841140702652,0.011969434487667206,0.05,True,0.05,96,,mnar_outcome_only,prior_separated,v2,9161,4159958130,composite_multiview_v3,True,True,True,0.275,0.15384615384615385,0.23076923076923078
evidence,0.75,0.00394707577755136,0.004300638955476419,0.1,True,0.05,32,0.8995971645151404,mnar_outcome_only,structured_policy_bank,v4,9161,3731568595,composite_multiview_v3,True,True,True,0.275,0.15384615384615385,0.23076923076923078
core,0.8,0.0025970621449152454,0.017546986421563417,0.8,True,0.05,32,2.341321671150231,mnar_outcome_only,structured_policy_bank,v4,9161,3731568595,composite_multiview_v3,True,True,True,0.275,0.15384615384615385,0.23076923076923078
mask,0.95,0.0828237233991746,0.029319143565340027,0.05,True,0.05,32,4.403871025252088,mnar_outcome_only,structured_policy_bank,v4,9161,3731568595,composite_multiview_v3,True,True,True,0.275,0.15384615384615385,0.23076923076923078
composite,0.8,0.03441738825287479,0.02278764547165725,0.05,True,0.05,96,,mnar_outcome_only,structured_policy_bank,v4,9161,3731568595,composite_multiview_v3,True,True,True,0.275,0.15384615384615385,0.23076923076923078
evidence,0.8,0.0018599895726121168,0.015000396222960214,0.85,True,0.05,32,0.9912580457653497,mnar_outcome_only,mask_only_dro,v5_mask,9161,3721622618,composite_multiview_v3,True,True,True,0.275,0.15384615384615385,0.23076923076923078
core,0.75,0.0026496978373682437,0.013391544465669383,0.65,True,0.05,32,2.341321671150231,mnar_outcome_only,mask_only_dro,v5_mask,9161,3721622618,composite_multiview_v3,True,True,True,0.275,0.15384615384615385,0.23076923076923078
mask,0.95,0.06784915487905135,0.019464402946116163,0.05,True,0.05,32,4.403871025252088,mnar_outcome_only,mask_only_dro,v5_mask,9161,3721622618,composite_multiview_v3,True,True,True,0.275,0.15384615384615385,0.23076923076923078
composite,0.85,0.028463574794293737,0.020716888203117387,0.05,True,0.05,96,,mnar_outcome_only,mask_only_dro,v5_mask,9161,3721622618,composite_multiview_v3,True,True,True,0.275,0.15384615384615385,0.23076923076923078
